playerID,year,PPA,SHA
actonke01,1988,,1
adamsgr01,1988,1,
adamsgr01,1989,1,
allismi01,1987,5,
archida01,1989,4,
bassebo01,1988,,1
bennibr01,1989,5,
bodgedo01,1988,25,1
bradlbr01,1990,10,
brookbo01,1989,1,2
broteaa01,1989,3,
broteaa01,1990,1,
brownje02,1989,24,
brownro01,1990,10,
bullami01,1988,13,
butchga01,1990,3,2
carpebo01,1988,4,
carsoji01,1989,5,
carsoli01,1987,1,1
charbjo01,1988,1,
chrisda01,1989,7,
ciccadi01,1988,10,1
courtge01,1987,7,
courtru01,1988,2,
coxecr01,1987,1,
creigad01,1988,7,
crossdo01,1990,21,
cullejo01,1990,29,
cunnera01,1989,4,
cyrpa01,1987,1,
dahlqch01,1990,,1
deblolu01,1990,,1
dineego01,1987,2,
dineego01,1988,2,
donnemi01,1987,2,
duguaro01,1987,2,
erickbr01,1987,6,
fentopa01,1990,2,
ferrara01,1990,5,
foligmi01,1990,1,
franclo01,1990,1,1
frasecu01,1987,2,
frycemi01,1988,3,
gartnmi01,1988,9,
gartnmi01,1989,14,1
gingrga01,1987,9,
goulemi01,1989,15,1
grahadi01,1987,7,1
halwado01,1988,1,
hardyma01,1987,10,1
hardyma01,1988,5,
hrdinji01,1990,4,
huberwi01,1987,14,
hullbr01,1987,10,
hunteda01,1987,1,4
hunteda01,1988,,1
huntema01,1990,4,
iafraal01,1990,11,1
johanca01,1988,7,
jonssto01,1988,24,
josepch01,1987,6,
joycebo01,1989,3,
kaspest01,1988,6,2
kennede01,1988,,2
klimape01,1989,11,
konrost01,1988,1,1
kontoch01,1987,6,
krushmi01,1990,3,
kurveto01,1990,15,
larsore01,1988,14,
laughcr01,1987,3,
lawlepa01,1987,3,
lawtobr01,1988,4,
lawtobr01,1989,1,
ledyagr01,1987,5,
ledyagr01,1988,6,
lemiejo01,1989,1,1
libaig01,1988,6,
linseke01,1989,8,
loisecl01,1990,1,1
macdepa01,1989,2,
macivno01,1988,19,
maclebr01,1988,8,
makelmi01,1989,1,
malondo01,1988,2,
manthmo01,1987,15,1
manthmo01,1988,9,
maroima01,1988,3,
mcbeawa01,1988,1,
mcdonhu01,1989,1,
mcintjo01,1990,,2
mckegto01,1989,3,
mckegto01,1990,7,
momesse01,1990,1,
murphla01,1988,22,
murphla01,1990,19,
nichobe01,1989,37,1
norwole01,1990,3,
nylunga01,1988,1,
paslagr01,1990,3,1
pavesji01,1987,1,
pederba01,1989,7,1
pederma01,1990,7,
petitmi01,1987,9,1
petitmi01,1990,16,
picarro02,1989,1,1
playfla01,1988,,1
poulida02,1989,1,1
proppbr01,1989,9,
quinnda01,1989,15,1
quinnda01,1990,18,
ramagro01,1987,19,2
robergo01,1987,3,
rousebo01,1988,,1
ruffli01,1988,1,
ruotsre01,1989,9,
samueul01,1990,,2
sandsto01,1989,20,
sanipev01,1989,2,
sheehne01,1987,1,
simpscr01,1987,10,1
skrikpe01,1990,5,
smaildo01,1990,1,1
stastpe01,1989,23,
tantito01,1989,9,
tantito01,1990,5,
thibagi01,1989,2,
tuckejo01,1989,6,
tuckejo01,1990,1,
vaiveri01,1988,15,
wellsja01,1989,3,2
wilsoca01,1987,9,3
wilsoca01,1988,19,
wilsoca01,1990,4,
ysebapa01,1990,4,1
zezelpe01,1988,17,
zezelpe01,1990,5,1
