user_id,item_id,rating
1,1,1
1,2,5
1,4,1
1,5,2
1,6,1
1,7,5
1,8,5
1,10,4
2,1,2
2,2,4
2,3,5
2,5,1
2,6,1
2,7,5
2,9,1
2,10,5
3,2,5
3,3,4
3,4,1
3,6,1
3,7,5
3,8,4
3,9,1
3,10,5
4,1,1
4,2,5
4,4,1
4,5,1
4,6,1
4,7,5
4,9,1
4,10,5
5,1,1
5,3,5
5,4,2
5,5,1
5,6,2
5,7,4
5,8,5
5,10,5
6,1,5
6,2,1
6,3,1
6,5,5
6,6,5
6,7,1
6,8,1
6,9,5
6,10,1
7,1,5
7,3,1
7,4,5
7,5,5
7,6,5
7,7,1
7,8,1
7,9,5
8,2,1
8,3,1
8,4,5
8,5,5
8,6,5
8,7,1
8,8,1
8,9,5
8,10,1
9,1,5
9,2,1
9,3,1
9,5,5
9,6,5
9,7,1
9,8,1
9,9,5
9,10,1
10,1,5
10,2,1
10,4,5
10,5,5
10,6,5
10,7,1
10,8,1
10,9,5
10,10,1
